Sr,Developers,Total Projects,Ongoing Projects
122,Shriram Housing,1 Total Projects, Ongoing Projects
123,Icon Group,13 Total Projects,1 Ongoing Projects
124,Vilas Javdekar Infinitee Developers Pvt Ltd,,
125,Bhojwani Homes,9 Total Projects, Ongoing Projects
126,Rama Group,48 Total Projects,11 Ongoing Projects
127,Kalpataru Group,150 Total Projects,67 Ongoing Projects
128,Pride Housing,36 Total Projects,5 Ongoing Projects
129,Shanti Mohan Developers,,
130,Runwal Realty,73 Total Projects,33 Ongoing Projects
131,Kakkad Developments,9 Total Projects,6 Ongoing Projects
132,Mihir Group,,
133,Siddhashila,7 Total Projects,2 Ongoing Projects
134,Aarohi,14 Total Projects, Ongoing Projects
135,Vilas Javdekar Developers Pune,,
136,Godrej Properties,177 Total Projects,111 Ongoing Projects
137,Kolte Patil Developers,125 Total Projects,45 Ongoing Projects
138,Kohinoor Group Construction And Real Estate,41 Total Projects,15 Ongoing Projects
139,Lodha Group,357 Total Projects,189 Ongoing Projects
140,Puravankara Limited,93 Total Projects,32 Ongoing Projects
141,Mahindra Lifespaces Developers,128 Total Projects,57 Ongoing Projects
142,Shree Group,15 Total Projects, Ongoing Projects
143,Phinix Multicon,13 Total Projects, Ongoing Projects
144,Ackruti City,3 Total Projects, Ongoing Projects
145,Kundan Spaces LLP,16 Total Projects,6 Ongoing Projects
146,Bhalerao Brothers and Company,7 Total Projects, Ongoing Projects
147,Shah And Associates,6 Total Projects, Ongoing Projects
148,Akruti enterprises,1 Total Projects,1 Ongoing Projects
149,Shree Associates Pune,,
150,Goka Engineering,8 Total Projects,2 Ongoing Projects
151,Rainbow Realty,3 Total Projects, Ongoing Projects
152,Sak Developers,,
153,Shubhamyash Construction And Developers,,
154,Veena Constructions,,
155,Trimurti Developers,6 Total Projects,2 Ongoing Projects
156,Venkateshwara Vastupurti,,
157,Surana Mutha Bhansali Developers,,
158,Srushti Developers Pune,,
159,GM Kenjale,9 Total Projects, Ongoing Projects
160,Archway Estates DB Gangawas Llp,,
161,Sai Buildcon Punawale,,
162,Core Buildcon,,
163,Staywell Homes,2 Total Projects,1 Ongoing Projects
164,Jain Ashapuri Group,2 Total Projects, Ongoing Projects
165,Ratan Homes Pune,,
166,Avishkar Properties,2 Total Projects, Ongoing Projects
167,Swamee Developers,2 Total Projects,1 Ongoing Projects
168,Vijaydeep Associates,1 Total Projects, Ongoing Projects
169,Kumar Builder,4 Total Projects, Ongoing Projects
170,Prakash Construction Company,18 Total Projects,2 Ongoing Projects
171,Gobind Builders and Developers,4 Total Projects, Ongoing Projects
172,Dhankude Builder,1 Total Projects, Ongoing Projects
173,Saffron,4 Total Projects, Ongoing Projects
174,Shree Krishna Group,10 Total Projects,1 Ongoing Projects
175,Vastuyog Suma,1 Total Projects, Ongoing Projects
176,Kohinoor Diamond Associates,1 Total Projects, Ongoing Projects
177,Kushal Sagar Builders,2 Total Projects, Ongoing Projects
178,Sai Builders Pune,9 Total Projects,1 Ongoing Projects
179,ND Landge,1 Total Projects, Ongoing Projects
180,F5 Realtors,22 Total Projects,7 Ongoing Projects
181,Krishnraj Constructions,1 Total Projects, Ongoing Projects
182,Shraddha Shelters,1 Total Projects, Ongoing Projects
183,Home Developers,4 Total Projects,2 Ongoing Projects
184,Vasudha,8 Total Projects, Ongoing Projects
185,Sugee Group,17 Total Projects,9 Ongoing Projects
186,Sagar Properties,3 Total Projects, Ongoing Projects
187,Nagpal,10 Total Projects,1 Ongoing Projects
188,Om Sai Venkata Group,8 Total Projects, Ongoing Projects
189,Yash Promoters And Builders,13 Total Projects,5 Ongoing Projects
190,Sanklecha Constructions,22 Total Projects,2 Ongoing Projects
191,Niranjan Developers,10 Total Projects, Ongoing Projects
192,Hazoor City Developers,1 Total Projects, Ongoing Projects
193,Runwal Housing,25 Total Projects, Ongoing Projects
194,Maan Group,4 Total Projects,1 Ongoing Projects
195,Prathamesh Developers,4 Total Projects,2 Ongoing Projects
196,Kushal Landmarks,7 Total Projects,1 Ongoing Projects
197,Arvind Smartspaces,21 Total Projects,7 Ongoing Projects
198,Bodh Developer,2 Total Projects,1 Ongoing Projects
199,SVS Properties,2 Total Projects, Ongoing Projects
200,Gandhi Manek,1 Total Projects, Ongoing Projects
201,Space Designers,2 Total Projects, Ongoing Projects
202,Sanskruti Developers,3 Total Projects, Ongoing Projects
203,Ammons,1 Total Projects, Ongoing Projects
204,Laxmi Properties,4 Total Projects, Ongoing Projects
205,Raojee Constructions,4 Total Projects,1 Ongoing Projects
206,Megapolis,2 Total Projects,1 Ongoing Projects
207,Sheth Realty,7 Total Projects,1 Ongoing Projects
208,Ujwal Homes,8 Total Projects, Ongoing Projects
209,Dreams Corporation,38 Total Projects,1 Ongoing Projects
210,Swadesh Buildcon,7 Total Projects, Ongoing Projects
211,Krupa Realtors,2 Total Projects, Ongoing Projects
212,Hardevi Associates,2 Total Projects, Ongoing Projects
213,Naiknavare Housing,49 Total Projects,8 Ongoing Projects
214,Shri Vardhaman Developers,6 Total Projects, Ongoing Projects
215,Yugal Constructions,17 Total Projects, Ongoing Projects
216,Adi Group,8 Total Projects,3 Ongoing Projects
217,Apex Multicons,2 Total Projects, Ongoing Projects
218,Raheja Universal,43 Total Projects,5 Ongoing Projects
219,Mansi Constructions,1 Total Projects, Ongoing Projects
220,Borate Construction,2 Total Projects, Ongoing Projects
221,Akshay Group,12 Total Projects,2 Ongoing Projects
222,Bharti Developers,2 Total Projects, Ongoing Projects
223,Karan Developers,14 Total Projects,1 Ongoing Projects
224,Sparkle Builders,2 Total Projects,2 Ongoing Projects
225,Prime,9 Total Projects,1 Ongoing Projects
226,Avishkar Developers,6 Total Projects, Ongoing Projects
227,Ganraj Developers,1 Total Projects, Ongoing Projects
228,Searock Developers,1 Total Projects, Ongoing Projects
229,Sanaya,4 Total Projects, Ongoing Projects
230,Nirman Realtors,19 Total Projects,10 Ongoing Projects
231,Ama Properties,1 Total Projects, Ongoing Projects
232,M Baria,21 Total Projects, Ongoing Projects
233,Madhav Limaye Group,1 Total Projects, Ongoing Projects
234,Chordia World,1 Total Projects, Ongoing Projects
235,Span Construction,2 Total Projects, Ongoing Projects
236,Rainbow Developers,1 Total Projects, Ongoing Projects
237,Nagarkar,7 Total Projects,1 Ongoing Projects
238,Royal Landmarks,1 Total Projects, Ongoing Projects
239,Manas Developers,4 Total Projects, Ongoing Projects
240,Shagun Developers,4 Total Projects, Ongoing Projects
241,Warke Developers,1 Total Projects, Ongoing Projects
242,Pragati Construction,2 Total Projects, Ongoing Projects
243,Samruddhi Associate,3 Total Projects, Ongoing Projects
244,Uni Properties,1 Total Projects, Ongoing Projects
245,Sainath Buidcon,2 Total Projects, Ongoing Projects
246,2KV Builders And Developers,,
247,Kalki Developers,3 Total Projects, Ongoing Projects
248,Balaji Hari Developers,1 Total Projects, Ongoing Projects
249,Aagam,10 Total Projects,1 Ongoing Projects
250,Shree Radhe Associates,3 Total Projects, Ongoing Projects
251,Vighnaharta Developers Pune,,
252,Loksewa Estates,1 Total Projects, Ongoing Projects
253,Kapil Construction,4 Total Projects, Ongoing Projects
254,Saptsiddhi Associates,4 Total Projects,1 Ongoing Projects
255,Ankit Developers,,
256,Golden Sparrow,1 Total Projects, Ongoing Projects
257,Yogesh Enterprises,14 Total Projects,4 Ongoing Projects
258,Vishva Developers,1 Total Projects, Ongoing Projects
259,Mahesh Builders and Developers,5 Total Projects,1 Ongoing Projects
260,Manav Group and Nagpal Landmarks,,
261,Shivdan Constructions,,
262,Dream Heights Premises,,
263,Gayatri Associates,1 Total Projects, Ongoing Projects
264,Jogeshwari Developers,,
265,Nayan Builders Pune,2 Total Projects,1 Ongoing Projects
266,Steadfast Landmark,,
267,Pragati Group,7 Total Projects,3 Ongoing Projects
268,Nisarg Parivar,,
269,SP Enterprises,2 Total Projects, Ongoing Projects
270,Rajmudra Properties,1 Total Projects, Ongoing Projects
271,Bafna Buildcon,,
272,Krishna Vision,,
273,Omkar Developers,5 Total Projects,1 Ongoing Projects
274,Five Facet Realtors,,
275,Budhrani Ethix,1 Total Projects, Ongoing Projects
276,Radhika Developers,7 Total Projects, Ongoing Projects
277,Raj Engineers,,
278,A S Group,,
279,Swayam Construction,,
280,Tulsi Developer Pune,,
281,Deshpande Landmark,,
282,Dedge Housing Development Llp,,
283,D Vision Ridge,,
284,Muktangan Developers,,
285,IYI Milestone Realities,,
286,Riddhi Siddhi Constructions Pune,,
287,Empire Infratech,,
288,Ashtvinayak Promoters And Developers,2 Total Projects, Ongoing Projects
289,Aryan Developers,4 Total Projects, Ongoing Projects
290,Samarth Electricals,,
291,Ashwin Arvind Sanghvi,,
292,Mayur Wagh Associates,,
293,Avishkar Consultancy And Developers,,
294,Yashobhumi Associates,,
295,Moze Developers,2 Total Projects, Ongoing Projects
296,Omkar Group,3 Total Projects, Ongoing Projects
297,Fortune Developer,5 Total Projects, Ongoing Projects
298,Vishal Constructions,4 Total Projects,2 Ongoing Projects
299,DS Housing,4 Total Projects, Ongoing Projects
300,Pushkar Realty,4 Total Projects, Ongoing Projects
301,The New Alliance Group,1 Total Projects, Ongoing Projects
302,AVM Associates,2 Total Projects, Ongoing Projects
303,B M Propmark,2 Total Projects, Ongoing Projects
304,SGL Construction,2 Total Projects,1 Ongoing Projects
305,Mangalmurti Developers,9 Total Projects,1 Ongoing Projects
306,Greenovation,4 Total Projects, Ongoing Projects
307,V3 Marketiers,2 Total Projects, Ongoing Projects
308,J J Enterprise,3 Total Projects, Ongoing Projects
309,Fulcrum Service,1 Total Projects, Ongoing Projects
310,Wakadkar Brothers,,
311,Shree Keshriya Developers,2 Total Projects, Ongoing Projects
312,Kalpdeep Developers,,
313,Balasaheb Chaburao Dhamankar,,
314,Sapp Ventures,,
315,Shree Sai Seva Developers Pune,,
316,Rohan Properties,,
317,Bharucha And Sons Realtors And Developers,3 Total Projects, Ongoing Projects
318,RGS Realty LLP,,
319,Aanannya Developers,,
320,Vinay Sudam Kunjir,,
321,Sahavihar Devlopers,,
322,Rohini Ravindra Ghorpade,,
323,Haripriya Creations,,
324,Ramchandra Dhondu Argade And Mr Sadashiv Uddhav Jadhav,,
325,Rupali Patil And Associates,,
326,Chaphalkar Karandikar Developers,,
327,Horizon Infrastructure,,
328,Nutan Developpers,,
329,Image Enterprises,,
330,Shaligram Realty,,
331,Ikon Reality,,
332,VD Realtors,,
333,Ameya Builders,,
334,M R Associates,,
335,Phoenix Infraspace,,
336,Vijayshree Developers,,
337,Pruthak Developers,,
338,Vardhaman Developers Mumbai,1 Total Projects, Ongoing Projects
339,Crystal Developers Moshi,,
340,Fabriworld Structural Engineering,,
341,Gupta Developers,,
342,Sai Aashish Enterprises,2 Total Projects, Ongoing Projects
343,Giriraj Groups,9 Total Projects, Ongoing Projects
344,Sneha Corp,8 Total Projects, Ongoing Projects
345,Borawake Developers,1 Total Projects, Ongoing Projects
346,Dugad Group,8 Total Projects, Ongoing Projects
347,Expat Group,7 Total Projects,7 Ongoing Projects
348,Varadraj Developers,,
349,Supertech Engineering,4 Total Projects, Ongoing Projects
